Month,Nocc,Nos,Nosic,Noc,Nos/Nocc,Solc
January,32069,14784,29882,5273,0.4610059559075743,417
February,12856,9265,25068,2787,0.7206751711263223,926
March,19131,16159,27755,4196,0.8446500444305055,926
April,20550,14715,34189,4485,0.7160583941605839,926
May,29713,23142,35922,6077,0.7788510079763067,926
June,11614,5065,19175,1881,0.4361115894609954,760
July,23788,19769,28362,7459,0.831049268538759,760
August,29032,23859,35669,10625,0.8218173050427114,518
September,12528,10767,23179,5102,0.8594348659003831,1278
October,30881,24213,46539,8160,0.7840743499239015,1278
November,106733,49645,77490,18872,0.4651326206515323,1278
December,324105,37854,72492,16908,0.11679548294534178,1278
Total,653000,249237,455722,91825,0.38167993874425726,1278
