size,month,frequency,percentage
1,1,3238,0.6140716859472786
2,1,663,0.12573487578228712
3,1,312,0.059169353309311584
4,1,174,0.03299829319173146
5,1,131,0.024843542575384032
6,1,100,0.018964536317087048
7,1,62,0.011758012516593969
8,1,51,0.009671913521714395
9,1,49,0.009292622795372654
10,1,37,0.007016878437322208
11,1,32,0.006068651621467855
12,1,28,0.005310070168784373
13,1,21,0.00398255262658828
14,1,37,0.007016878437322208
15,1,24,0.0045514887161008915
16,1,17,0.003223971173904798
17,1,23,0.004361843352930021
18,1,12,0.0022757443580504457
19,1,9,0.0017068082685378343
20,1,11,0.002086098994879575
21,1,10,0.0018964536317087046
22,1,6,0.0011378721790252229
23,1,9,0.0017068082685378343
24,1,7,0.0013275175421960932
25,1,6,0.0011378721790252229
26,1,8,0.0015171629053669638
27,1,8,0.0015171629053669638
28,1,5,9.482268158543523e-4
29,1,5,9.482268158543523e-4
30,1,7,0.0013275175421960932
31,1,1,1.8964536317087047e-4
32,1,7,0.0013275175421960932
33,1,7,0.0013275175421960932
34,1,4,7.585814526834819e-4
35,1,4,7.585814526834819e-4
36,1,2,3.7929072634174094e-4
37,1,5,9.482268158543523e-4
38,1,7,0.0013275175421960932
39,1,6,0.0011378721790252229
40,1,4,7.585814526834819e-4
41,1,3,5.689360895126114e-4
42,1,3,5.689360895126114e-4
43,1,1,1.8964536317087047e-4
44,1,1,1.8964536317087047e-4
45,1,4,7.585814526834819e-4
46,1,4,7.585814526834819e-4
47,1,4,7.585814526834819e-4
48,1,2,3.7929072634174094e-4
49,1,3,5.689360895126114e-4
50,1,2,3.7929072634174094e-4
51,1,4,7.585814526834819e-4
52,1,1,1.8964536317087047e-4
53,1,2,3.7929072634174094e-4
55,1,2,3.7929072634174094e-4
57,1,2,3.7929072634174094e-4
58,1,1,1.8964536317087047e-4
59,1,1,1.8964536317087047e-4
60,1,1,1.8964536317087047e-4
62,1,2,3.7929072634174094e-4
63,1,1,1.8964536317087047e-4
65,1,1,1.8964536317087047e-4
66,1,2,3.7929072634174094e-4
67,1,1,1.8964536317087047e-4
68,1,2,3.7929072634174094e-4
69,1,1,1.8964536317087047e-4
70,1,3,5.689360895126114e-4
72,1,1,1.8964536317087047e-4
