country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,2.938529412555576,4.562596908765144,1.314461916346008,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,2.2574225280411304,3.838808535718705,0.6760365203635554,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,1.810144956211724,3.318458344341807,0.30183156808164124,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,1.4932288455642255,3.0865716980372344,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,1.2397535637679034,3.1587216396871813,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,1.035197859327222,3.0108830620807723,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,0.889412455129972,2.4476905535331177,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,0.8063864836945838,1.8496263645629825,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,0.7757488155853973,1.5387709320601852,0.01272669911060941,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,0.7902255828960061,1.734387471126163,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,0.8459660102058397,2.536817541394827,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,0.9397971224934716,3.6535393011909703,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.0662307953104542,4.068620982619343,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.2151010339528727,3.478296202471885,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.3728101676928224,2.7530596842037167,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.5228543176404086,2.477141396505037,0.5685672387757802,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.6478789972302053,2.853082800731479,0.4426751937289315,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-19,1.7363564321179268,3.80471745891077,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-20,1.7804074335266444,4.86872987799601,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-21,1.7778410782804697,4.983621664195021,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-22,1.7351280117634462,4.11090866749968,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-23,1.6670821410106804,3.2015503229088043,0.13261395911255658,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-24,1.581938511207042,2.900834152488031,0.26304286992605297,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-25,1.4803457802121347,2.82636156686471,0.13432999355955944,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-26,1.3657450335824943,2.734329865016655,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-27,1.2487322148665772,2.7704212106939545,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-28,1.1395558314449317,2.762892883633695,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-29,1.0406198869569263,2.5358653938809876,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-30,0.9489629562910148,2.1609032744255097,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-03-31,0.8661925166663633,1.8730087196894136,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-01,0.7975635996201677,1.7841268806827784,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-02,0.7459686717188453,1.794942144268509,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-03,0.7089777863397085,1.8304010222764333,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-04,0.6832756704700238,1.83862989544852,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-05,0.6706497613125928,1.8291059756822232,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-06,0.6760375094451435,1.837157738586152,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-07,0.7016179479205449,1.827323618912902,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-08,0.7453559948945999,2.0946341033263685,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-09,0.801241008892278,2.988425375719942,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-10,0.8608036656862498,3.5471814195380107,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-11,0.9162320215921091,3.4036587713447353,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-12,0.9608880592958946,3.241625023275876,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-13,0.9920354698759608,2.6663532805235586,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-14,1.0099342321522702,2.4240730510821904,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-15,1.015231980596145,3.732228496132664,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-16,1.0088323721705794,4.238931928597073,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-17,0.993394347612118,3.615629788964669,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-18,0.973658632257356,3.073648045417038,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-19,0.9540403900467,2.5414530584315433,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-20,0.9369826405788734,2.080357335071634,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-21,0.9228917643450736,2.0396871905637464,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-22,0.9120145566425024,2.5125514234777775,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-23,0.9049872752946996,4.948488403621019,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-24,0.9004865583513326,5.674955058814906,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-25,0.8947230952786253,3.8936554251513464,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-26,0.8839295302128873,2.6999278781926455,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-27,0.8674366050911737,2.059373355329438,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-28,0.8482867621139745,2.1019802690709595,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-29,0.8282301503105681,2.9277851098508947,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-04-30,0.805637580816177,3.5115565495898804,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-01,0.7789674690651986,3.224891812575123,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-02,0.7509034755446786,2.7512575942674653,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-03,0.7268828030013832,2.6573857209190317,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-04,0.7103269754735622,2.9304546737319628,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-05,0.7003566783846432,2.9749468518379496,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-06,0.6970747092734476,3.1953790743158916,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-07,0.7031750059685994,3.919662133205723,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-08,0.7208251731403267,3.7557154742520185,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-09,0.7477051566781103,2.7457841878694413,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-10,0.7781359509842664,2.1279630737639756,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-11,0.8076175674542234,2.140739514294002,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-12,0.8361934393419509,2.489180810278693,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-13,0.8633722005257785,3.15836297761743,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-14,0.885954304112769,4.238007830123631,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-15,0.8987412930342754,4.462790973169666,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-16,0.89955309051898,3.582849815116445,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-17,0.8911002274057713,3.4181936951575045,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-18,0.8791567821246533,4.325036306113881,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-19,0.8692953059499609,4.566889628180565,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-20,0.8653111232427907,4.870356799621217,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-21,0.867968014402056,5.526762844733728,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-22,0.8734425086083741,4.540019370721631,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-23,0.8764056421983316,2.8898563168295897,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-24,0.8736616194159263,2.0888096693896303,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-25,0.8666594889034898,1.829975242438296,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-26,0.8594375009327415,1.835601233056612,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-27,0.8554119266479664,2.0438509408696537,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-28,0.8582244958860733,2.489208861870783,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-29,0.8710840243730138,2.6524069557273755,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-30,0.8948562551628116,2.5987154175535254,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-05-31,0.9255871914201196,2.6841948155991453,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-01,0.9538838890474384,2.6380568125206856,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-02,0.973967572033284,2.9616946852505253,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-03,0.9903694573393584,3.4784536813402775,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-04,1.0154604077292178,3.6459340129793425,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-05,1.0550134915150515,3.1899347819401696,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-06,1.1030343088040593,2.615861997971761,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-07,1.1463300417090274,2.307272285563913,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-08,1.1725696467677575,2.2977584797373902,0.04738081379812464,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-09,1.1753872211666907,2.345291313426504,0.00548312890687729,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-10,1.1578658445755967,2.791036048190051,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-11,1.1267497665681452,4.303935857796919,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-12,1.0852156663505388,3.6887350353204233,0,DNK
