size,month,frequency,percentage
1,1,3779,0.7521894904458599
2,1,554,0.11027070063694268
3,1,215,0.042794585987261144
4,1,129,0.02567675159235669
5,1,88,0.01751592356687898
6,1,54,0.010748407643312101
7,1,31,0.006170382165605096
8,1,21,0.004179936305732484
9,1,22,0.004378980891719745
10,1,14,0.002786624203821656
11,1,11,0.0021894904458598726
12,1,11,0.0021894904458598726
13,1,10,0.0019904458598726115
14,1,11,0.0021894904458598726
15,1,8,0.0015923566878980893
16,1,7,0.001393312101910828
17,1,3,5.971337579617834e-4
18,1,3,5.971337579617834e-4
20,1,5,9.952229299363057e-4
21,1,2,3.980891719745223e-4
23,1,1,1.9904458598726116e-4
24,1,1,1.9904458598726116e-4
25,1,3,5.971337579617834e-4
27,1,1,1.9904458598726116e-4
28,1,4,7.961783439490446e-4
29,1,2,3.980891719745223e-4
30,1,2,3.980891719745223e-4
31,1,3,5.971337579617834e-4
32,1,1,1.9904458598726116e-4
33,1,2,3.980891719745223e-4
34,1,1,1.9904458598726116e-4
37,1,2,3.980891719745223e-4
38,1,1,1.9904458598726116e-4
39,1,2,3.980891719745223e-4
41,1,1,1.9904458598726116e-4
42,1,1,1.9904458598726116e-4
43,1,1,1.9904458598726116e-4
45,1,1,1.9904458598726116e-4
50,1,1,1.9904458598726116e-4
51,1,1,1.9904458598726116e-4
53,1,2,3.980891719745223e-4
54,1,2,3.980891719745223e-4
74,1,1,1.9904458598726116e-4
78,1,1,1.9904458598726116e-4
82,1,1,1.9904458598726116e-4
83,1,1,1.9904458598726116e-4
90,1,1,1.9904458598726116e-4
96,1,1,1.9904458598726116e-4
100,1,1,1.9904458598726116e-4
111,1,1,1.9904458598726116e-4
151,1,1,1.9904458598726116e-4
176,1,1,1.9904458598726116e-4
1,2,8568,0.7218197135636057
2,2,1418,0.11946082561078349
3,2,579,0.04877843302443134
4,2,312,0.02628475147430497
5,2,223,0.018786857624262847
6,2,145,0.012215669755686605
7,2,94,0.007919123841617522
8,2,57,0.004802021903959562
9,2,69,0.0058129738837405225
10,2,40,0.003369839932603201
11,2,41,0.0034540859309182812
12,2,42,0.0035383319292333613
13,2,28,0.002358887952822241
14,2,23,0.0019376579612468408
15,2,23,0.0019376579612468408
16,2,21,0.0017691659646166806
17,2,15,0.0012636899747262005
18,2,13,0.0010951979780960404
19,2,5,4.2122999157540015e-4
20,2,10,8.424599831508003e-4
21,2,7,5.897219882055602e-4
22,2,5,4.2122999157540015e-4
23,2,4,3.3698399326032014e-4
24,2,3,2.527379949452401e-4
25,2,12,0.0010109519797809603
26,2,3,2.527379949452401e-4
27,2,3,2.527379949452401e-4
28,2,12,0.0010109519797809603
29,2,4,3.3698399326032014e-4
30,2,7,5.897219882055602e-4
31,2,4,3.3698399326032014e-4
32,2,8,6.739679865206403e-4
33,2,5,4.2122999157540015e-4
34,2,2,1.6849199663016007e-4
35,2,2,1.6849199663016007e-4
36,2,1,8.424599831508003e-5
37,2,4,3.3698399326032014e-4
38,2,3,2.527379949452401e-4
39,2,1,8.424599831508003e-5
40,2,3,2.527379949452401e-4
41,2,3,2.527379949452401e-4
42,2,3,2.527379949452401e-4
43,2,3,2.527379949452401e-4
45,2,2,1.6849199663016007e-4
46,2,1,8.424599831508003e-5
47,2,2,1.6849199663016007e-4
48,2,1,8.424599831508003e-5
50,2,2,1.6849199663016007e-4
51,2,1,8.424599831508003e-5
52,2,1,8.424599831508003e-5
53,2,3,2.527379949452401e-4
54,2,2,1.6849199663016007e-4
57,2,1,8.424599831508003e-5
58,2,1,8.424599831508003e-5
60,2,1,8.424599831508003e-5
71,2,1,8.424599831508003e-5
72,2,1,8.424599831508003e-5
74,2,2,1.6849199663016007e-4
75,2,1,8.424599831508003e-5
77,2,1,8.424599831508003e-5
78,2,2,1.6849199663016007e-4
79,2,1,8.424599831508003e-5
82,2,1,8.424599831508003e-5
83,2,1,8.424599831508003e-5
86,2,1,8.424599831508003e-5
90,2,2,1.6849199663016007e-4
96,2,1,8.424599831508003e-5
100,2,2,1.6849199663016007e-4
105,2,1,8.424599831508003e-5
111,2,1,8.424599831508003e-5
126,2,1,8.424599831508003e-5
151,2,1,8.424599831508003e-5
158,2,1,8.424599831508003e-5
176,2,1,8.424599831508003e-5
183,2,1,8.424599831508003e-5
1,3,14022,0.6940896940896941
2,3,2557,0.12657162657162657
3,3,1077,0.05331155331155331
4,3,604,0.029898029898029897
5,3,400,0.0198000198000198
6,3,298,0.01475101475101475
7,3,190,0.009405009405009405
8,3,171,0.008464508464508464
9,3,126,0.006237006237006237
10,3,94,0.004653004653004653
11,3,70,0.003465003465003465
12,3,76,0.003762003762003762
13,3,41,0.0020295020295020296
14,3,57,0.0028215028215028215
15,3,34,0.001683001683001683
16,3,41,0.0020295020295020296
17,3,32,0.001584001584001584
18,3,26,0.001287001287001287
19,3,16,7.92000792000792e-4
20,3,19,9.405009405009405e-4
21,3,16,7.92000792000792e-4
22,3,14,6.93000693000693e-4
23,3,12,5.94000594000594e-4
24,3,8,3.96000396000396e-4
25,3,16,7.92000792000792e-4
26,3,7,3.465003465003465e-4
27,3,6,2.97000297000297e-4
28,3,17,8.415008415008415e-4
29,3,6,2.97000297000297e-4
30,3,13,6.435006435006435e-4
31,3,5,2.475002475002475e-4
32,3,10,4.95000495000495e-4
33,3,9,4.455004455004455e-4
34,3,6,2.97000297000297e-4
35,3,4,1.98000198000198e-4
36,3,3,1.485001485001485e-4
37,3,4,1.98000198000198e-4
38,3,6,2.97000297000297e-4
39,3,3,1.485001485001485e-4
40,3,3,1.485001485001485e-4
41,3,6,2.97000297000297e-4
42,3,4,1.98000198000198e-4
43,3,5,2.475002475002475e-4
45,3,3,1.485001485001485e-4
46,3,1,4.95000495000495e-5
47,3,4,1.98000198000198e-4
48,3,1,4.95000495000495e-5
49,3,3,1.485001485001485e-4
50,3,3,1.485001485001485e-4
51,3,1,4.95000495000495e-5
52,3,2,9.9000099000099e-5
53,3,4,1.98000198000198e-4
54,3,3,1.485001485001485e-4
55,3,1,4.95000495000495e-5
57,3,1,4.95000495000495e-5
58,3,1,4.95000495000495e-5
60,3,2,9.9000099000099e-5
61,3,2,9.9000099000099e-5
63,3,1,4.95000495000495e-5
71,3,1,4.95000495000495e-5
72,3,1,4.95000495000495e-5
74,3,3,1.485001485001485e-4
75,3,1,4.95000495000495e-5
77,3,2,9.9000099000099e-5
78,3,3,1.485001485001485e-4
79,3,1,4.95000495000495e-5
82,3,1,4.95000495000495e-5
83,3,1,4.95000495000495e-5
86,3,2,9.9000099000099e-5
90,3,2,9.9000099000099e-5
95,3,1,4.95000495000495e-5
96,3,1,4.95000495000495e-5
98,3,1,4.95000495000495e-5
100,3,3,1.485001485001485e-4
105,3,1,4.95000495000495e-5
106,3,1,4.95000495000495e-5
111,3,1,4.95000495000495e-5
126,3,1,4.95000495000495e-5
151,3,1,4.95000495000495e-5
158,3,1,4.95000495000495e-5
166,3,1,4.95000495000495e-5
176,3,1,4.95000495000495e-5
177,3,1,4.95000495000495e-5
183,3,1,4.95000495000495e-5
226,3,1,4.95000495000495e-5
1,4,17982,0.6979506287843502
2,4,3301,0.12812451482689025
3,4,1420,0.05511566526936811
4,4,795,0.030857009781089892
5,4,503,0.01952336593696631
6,4,332,0.012886197795373389
7,4,243,0.00943176525384257
8,4,221,0.008577860580655178
9,4,140,0.005433938829374321
10,4,114,0.004424778761061947
11,4,81,0.003143921751280857
12,4,79,0.003066294053718367
13,4,48,0.0018630647414997672
14,4,70,0.0027169694146871605
15,4,35,0.0013584847073435803
16,4,37,0.0014361124049060705
17,4,35,0.0013584847073435803
18,4,24,9.315323707498836e-4
19,4,22,8.539046731873933e-4
20,4,14,5.43393882937432e-4
21,4,16,6.210215804999224e-4
22,4,16,6.210215804999224e-4
23,4,18,6.986492780624127e-4
24,4,12,4.657661853749418e-4
25,4,19,7.374631268436578e-4
26,4,9,3.4932463903120635e-4
27,4,9,3.4932463903120635e-4
28,4,14,5.43393882937432e-4
29,4,9,3.4932463903120635e-4
30,4,13,5.045800341561869e-4
31,4,6,2.328830926874709e-4
32,4,9,3.4932463903120635e-4
33,4,9,3.4932463903120635e-4
34,4,6,2.328830926874709e-4
35,4,5,1.9406924390622573e-4
36,4,6,2.328830926874709e-4
37,4,1,3.881384878124515e-5
38,4,6,2.328830926874709e-4
39,4,2,7.76276975624903e-5
40,4,3,1.1644154634373545e-4
41,4,6,2.328830926874709e-4
42,4,3,1.1644154634373545e-4
43,4,6,2.328830926874709e-4
45,4,2,7.76276975624903e-5
46,4,3,1.1644154634373545e-4
47,4,4,1.552553951249806e-4
48,4,2,7.76276975624903e-5
49,4,3,1.1644154634373545e-4
50,4,3,1.1644154634373545e-4
51,4,2,7.76276975624903e-5
52,4,1,3.881384878124515e-5
53,4,3,1.1644154634373545e-4
54,4,2,7.76276975624903e-5
55,4,1,3.881384878124515e-5
60,4,2,7.76276975624903e-5
61,4,2,7.76276975624903e-5
63,4,1,3.881384878124515e-5
