country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-02,0.2210551282745293,1.777357974342541,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-03,0.17911539728610254,2.2099939339909698,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-04,0.1465913895309591,2.026451115555707,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-05,0.11834952400954668,1.685974465786481,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-06,0.0965511652948906,2.626086277952686,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-07,0.08802856223194981,3.4384329737380894,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-08,0.09692606751692374,2.9159020306068895,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-09,0.12522227066488728,2.244565306568494,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-10,0.17682095577850834,3.344550140563894,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-11,0.2615023218936828,5.698684184141433,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-12,0.4115775157598148,8.595889634856775,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-13,0.9196481495931128,19.881318072421596,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-14,4.644734390175221,28.017975874874452,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-15,27.028307103662495,76.94130299100219,2.985843129567698,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-16,59.075874660198544,108.2866585186374,24.650166125164343,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-17,41.62246377646464,62.273360118892704,25.0886128342035,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-18,20.8004732246041,28.254396130350155,13.673511944540332,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-19,10.867304532942104,19.39993903091677,2.3346700349674396,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-20,6.6598274924066585,19.045361656322253,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-21,4.969988988084441,15.004759217584583,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-22,4.3099198222107855,9.994226903601762,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-23,3.972802270256061,7.048740186456241,0.8968643540558792,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-24,3.7074029998612374,6.000576363627867,1.4142296360946078,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-25,3.443046953962593,5.472719853227029,1.4133740546981572,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-26,3.165359165972134,6.039733870949691,0.2909844609945771,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-27,2.913666699820241,8.294020621801353,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-28,2.755781813969266,8.974633413437306,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-02-29,2.727292491843048,7.373170492024904,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-01,2.784588650396113,5.5777675855375275,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-02,2.8532685949362975,4.707172647469102,0.9993645424034924,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-03,2.864707846605672,4.51802499006305,1.211390703148294,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-04,2.7854510735498663,5.391849856289825,0.1790522908099077,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-05,2.6420606845553785,7.200789707429967,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-06,2.4969033475418225,7.628678923902474,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-07,2.39706857958778,6.2063529269835636,0,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-08,2.3462161690610435,4.673537511834297,0.01889482628778971,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-09,2.316105808370032,3.763615408295694,0.8685962084443701,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-10,2.2766183874014208,3.4084226459765334,1.144814128826308,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-11,2.2153518475780154,3.395334858604529,1.035368836551502,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-12,2.141518638032845,3.657794082340762,0.625243193724927,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-13,2.0627973262682193,3.8782320203213216,0.247362632215117,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-14,1.9761220902602392,3.759160534408028,0.19308364611245077,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-15,1.8748472557818985,3.420332746510951,0.32936176505284576,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-16,1.7591827898606731,3.081594050254497,0.4367715294668497,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-17,1.6374883797900095,2.8096413685774744,0.46533539100254506,DEU
Germany,DEU,OWID,Confirmed cases,Cori_slidingWindow,2020-03-18,1.5167149328597402,2.6035277252097613,0.4299021405097194,DEU
