size,frequency
1,2080
2,220
3,123
4,64
5,52
6,31
7,37
8,31
9,21
10,12
11,10
12,12
13,14
14,6
15,8
16,5
17,9
18,4
19,4
20,5
21,4
22,2
23,9
24,7
25,3
26,2
27,5
28,5
29,5
30,3
31,1
32,1
33,3
34,1
35,1
37,2
39,1
40,2
41,2
42,4
43,1
44,1
45,1
46,2
47,2
48,1
49,2
50,3
51,1
52,1
54,1
55,2
57,1
61,1
63,2
67,1
68,2
71,1
74,1
75,1
78,1
79,2
83,3
88,1
89,1
91,1
92,2
99,1
100,4
102,1
103,1
105,1
107,1
119,1
120,1
121,1
129,1
131,1
139,1
140,1
141,1
142,1
143,1
146,1
153,1
154,1
161,1
163,2
165,1
169,1
176,1
180,1
194,2
196,1
200,1
216,1
220,1
224,1
236,1
256,1
270,1
272,1
274,1
280,1
281,1
295,2
320,1
331,1
335,1
337,1
339,1
355,1
360,1
385,1
390,1
412,1
462,1
488,1
530,1
688,1
716,1
723,1
898,1
1442,1
1500,87
