size,frequency
1,1587
2,321
3,153
4,87
5,61
6,48
7,48
8,44
9,28
10,20
11,14
12,18
13,10
14,25
15,14
16,13
17,15
18,10
19,8
20,6
21,10
22,9
23,8
24,4
25,3
26,3
27,9
28,5
29,8
30,4
31,7
32,7
33,2
34,5
35,3
36,2
37,3
39,6
40,3
41,3
42,2
43,3
44,2
45,1
46,1
47,2
48,2
50,2
52,1
54,4
55,1
56,2
58,1
59,1
60,2
62,1
66,2
67,2
68,2
69,2
70,2
72,1
74,1
75,1
76,1
77,2
78,2
79,1
82,1
85,1
86,2
87,1
90,1
91,1
92,1
95,1
96,1
98,2
101,1
103,1
108,1
112,3
117,1
118,1
119,2
121,1
123,1
125,1
128,1
130,1
132,2
134,1
136,1
139,1
142,2
143,1
155,1
160,1
162,1
167,1
169,1
171,1
184,1
191,1
203,1
220,1
223,2
228,1
266,1
285,1
295,1
305,1
338,1
396,1
408,1
414,1
509,1
577,1
621,1
784,1
859,1
1181,1
1201,1
1500,256
