size,frequency
1,1776
2,366
3,156
4,118
5,86
6,57
7,44
8,38
9,19
10,31
11,13
12,14
13,13
14,17
15,17
16,20
17,5
18,9
19,7
20,9
21,7
22,7
23,5
24,13
26,2
27,7
28,2
29,5
30,2
31,5
32,1
33,3
34,4
35,8
36,3
37,2
38,2
39,1
40,2
41,1
42,3
43,2
44,6
45,1
46,2
47,2
49,3
50,4
51,2
52,1
53,3
54,2
56,2
57,1
58,1
61,2
62,3
63,1
64,2
67,1
68,1
69,2
71,1
72,1
73,1
77,1
79,1
80,2
81,3
82,1
85,1
86,3
89,1
91,1
93,1
94,1
96,1
99,1
100,1
101,1
102,2
105,1
106,1
108,1
109,1
112,1
113,1
114,1
115,1
116,1
126,1
129,1
132,1
134,1
135,1
160,1
166,1
167,1
185,1
186,1
190,1
192,1
198,1
218,1
220,1
223,1
226,1
248,1
304,1
380,1
382,1
404,1
