size,frequency
1,1414
2,326
3,159
4,113
5,63
6,58
7,32
8,30
9,31
10,29
11,24
12,18
13,12
14,18
15,8
16,8
17,7
18,9
19,10
20,7
21,4
22,7
23,3
24,5
25,12
26,1
27,4
28,4
29,5
30,1
31,1
32,4
33,2
34,6
35,4
36,5
37,4
38,1
39,2
40,6
41,1
42,4
44,1
45,1
46,1
48,2
49,1
50,2
52,1
53,2
54,2
55,1
60,2
62,1
65,1
66,1
67,1
68,1
69,1
72,1
75,1
76,1
77,1
78,2
79,1
80,1
81,1
97,2
98,1
100,1
103,1
104,1
115,1
118,1
127,1
130,1
132,1
133,1
134,1
136,1
142,1
153,1
160,1
166,1
201,1
207,1
214,1
216,1
218,1
239,1
295,1
1500,482
