size,frequency
1,2028
2,224
3,113
4,101
5,40
6,40
7,34
8,19
9,24
10,19
11,14
12,11
13,6
14,6
15,9
16,6
17,8
18,7
19,5
20,4
21,2
22,6
23,3
24,1
25,5
26,2
29,1
30,3
31,3
32,4
33,3
34,5
36,2
37,1
38,3
39,4
41,4
42,2
43,1
46,1
47,1
48,1
49,1
50,1
53,1
54,3
55,1
57,1
58,1
60,1
61,2
62,1
68,3
69,1
71,1
73,2
75,2
77,1
79,1
80,1
88,1
90,1
91,1
92,1
97,1
99,1
100,1
101,1
104,1
106,1
108,1
109,1
113,2
115,1
122,1
123,1
131,1
134,1
135,1
137,1
140,1
145,1
155,1
158,2
159,1
164,1
165,1
167,1
168,1
171,1
179,1
181,2
182,1
184,1
211,1
214,1
219,1
228,1
237,1
251,2
253,1
255,1
265,1
268,2
292,1
294,1
306,1
333,1
335,1
354,1
379,1
416,1
417,1
443,1
461,2
471,1
501,1
642,1
674,1
855,1
979,1
1088,1
1415,1
1500,130
