Month,Nocc,Nos,Nosic,Noc,Nos/Nocc,Solc
January,68867,7590,9915,5665,0.11021243846835205,114
February,32110,4213,6367,2712,0.1312052320149486,92
March,46145,5377,7721,3417,0.1165240004334164,92
April,58135,7485,10226,4957,0.12875204265932744,65
May,33434,5692,7748,3663,0.17024585751031884,65
June,7381,1586,3335,1178,0.21487603305785125,363
July,16117,5450,7335,3050,0.338152261587144,363
August,64669,12456,15772,8389,0.19261160679769287,363
September,57672,9037,13688,6437,0.15669649049798862,363
October,35422,9030,13967,5848,0.25492631697814916,363
November,152427,14817,19134,9437,0.097207187702966,204
December,324389,10700,16277,7989,0.03298508889019048,488
Total,896768,93433,131485,62742,0.10418859727376534,488
