size,month,frequency,percentage
1,1,4482,0.7911738746690203
2,1,574,0.10132391879964696
3,1,223,0.03936451897616946
4,1,104,0.018358340688437776
5,1,63,0.011120917917034422
6,1,40,0.00706090026478376
7,1,28,0.004942630185348632
8,1,34,0.006001765225066196
9,1,16,0.002824360105913504
10,1,7,0.001235657546337158
11,1,8,0.001412180052956752
12,1,10,0.00176522506619594
13,1,11,0.001941747572815534
14,1,6,0.001059135039717564
15,1,5,8.8261253309797e-4
16,1,4,7.06090026478376e-4
17,1,9,0.001588702559576346
18,1,4,7.06090026478376e-4
19,1,8,0.001412180052956752
20,1,3,5.29567519858782e-4
21,1,3,5.29567519858782e-4
22,1,2,3.53045013239188e-4
24,1,1,1.76522506619594e-4
25,1,1,1.76522506619594e-4
26,1,2,3.53045013239188e-4
28,1,2,3.53045013239188e-4
29,1,2,3.53045013239188e-4
30,1,1,1.76522506619594e-4
31,1,1,1.76522506619594e-4
32,1,3,5.29567519858782e-4
34,1,1,1.76522506619594e-4
37,1,1,1.76522506619594e-4
38,1,1,1.76522506619594e-4
42,1,1,1.76522506619594e-4
52,1,1,1.76522506619594e-4
64,1,1,1.76522506619594e-4
92,1,1,1.76522506619594e-4
114,1,1,1.76522506619594e-4
1,2,1872,0.6902654867256637
2,2,345,0.12721238938053098
3,2,146,0.05383480825958702
4,2,82,0.03023598820058997
5,2,53,0.019542772861356934
6,2,39,0.014380530973451327
7,2,23,0.008480825958702065
8,2,32,0.011799410029498525
9,2,16,0.0058997050147492625
10,2,6,0.0022123893805309734
11,2,13,0.004793510324483776
12,2,7,0.0025811209439528023
13,2,8,0.0029498525073746312
14,2,6,0.0022123893805309734
15,2,3,0.0011061946902654867
16,2,6,0.0022123893805309734
17,2,9,0.00331858407079646
18,2,4,0.0014749262536873156
19,2,11,0.004056047197640118
20,2,3,0.0011061946902654867
21,2,4,0.0014749262536873156
22,2,1,3.687315634218289e-4
23,2,3,0.0011061946902654867
24,2,1,3.687315634218289e-4
25,2,1,3.687315634218289e-4
26,2,3,0.0011061946902654867
27,2,1,3.687315634218289e-4
28,2,2,7.374631268436578e-4
29,2,1,3.687315634218289e-4
30,2,4,0.0014749262536873156
31,2,1,3.687315634218289e-4
32,2,1,3.687315634218289e-4
34,2,1,3.687315634218289e-4
35,2,1,3.687315634218289e-4
47,2,1,3.687315634218289e-4
64,2,1,3.687315634218289e-4
92,2,1,3.687315634218289e-4
1,3,2421,0.7085162423178226
2,3,428,0.12525607257828505
3,3,160,0.046824700029265434
4,3,98,0.02868012876792508
5,3,61,0.01785191688615745
6,3,46,0.013462101258413814
7,3,35,0.010242903131401814
8,3,32,0.009364940005853088
9,3,12,0.003511852502194908
10,3,13,0.0038045068773778167
11,3,13,0.0038045068773778167
12,3,9,0.0026338893766461808
13,3,8,0.002341235001463272
14,3,8,0.002341235001463272
15,3,3,8.77963125548727e-4
16,3,6,0.001755926251097454
17,3,10,0.0029265437518290896
18,3,8,0.002341235001463272
19,3,8,0.002341235001463272
20,3,4,0.001170617500731636
21,3,5,0.0014632718759145448
23,3,4,0.001170617500731636
24,3,1,2.92654375182909e-4
25,3,3,8.77963125548727e-4
26,3,1,2.92654375182909e-4
27,3,3,8.77963125548727e-4
28,3,2,5.85308750365818e-4
29,3,1,2.92654375182909e-4
30,3,3,8.77963125548727e-4
31,3,2,5.85308750365818e-4
32,3,1,2.92654375182909e-4
34,3,1,2.92654375182909e-4
35,3,1,2.92654375182909e-4
43,3,1,2.92654375182909e-4
