month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
1,Switzerland,0.11021243846835203,0.9170231146164091,0.8884812975063071,0.9424546353196203,1.0012993582264653,0.06255241466113542,0.0518568587337318,0.07504843048469172,1.002836332756551,0.2811,0.576,0.06348236455777077
2,Switzerland,0.1312052320149486,1.1281029091661614,1.0968882974056031,1.15689867305593,1.0039494666610136,0.23278968520357307,0.16556054934379963,0.32905465069133866,1.005418843252167,0.2811,0.576,0.07557421364061039
3,Switzerland,0.1165240004334164,1.1077886635627434,1.0820786244617828,1.134079904589986,1.0031574269372279,0.167874952879849,0.12632331169669128,0.22590115218015638,1.0036291236725714,0.2811,0.576,0.06711782424964784
4,Switzerland,0.12875204265932744,1.0775202156755515,1.0535624489016957,1.0999673177573945,1.0030423938233606,0.20836990303779823,0.1611538894268288,0.2612255524542327,1.002466666713552,0.2811,0.576,0.0741611765717726
5,Switzerland,0.17024585751031884,1.0619443629169991,1.0362918140405586,1.0873651318824127,1.0014744257156756,0.23156155468358647,0.1756736470356773,0.30898583737176855,1.002129417269041,0.2811,0.576,0.09806161392594365
6,Switzerland,0.21487603305785125,1.1173095584896429,1.0725344266580643,1.1593006870445695,1.0030599707475694,0.16269911008995597,0.11201872641689882,0.23501794878986912,1.0046405636273894,0.2811,0.576,0.1237685950413223
7,Switzerland,0.338152261587144,1.0146408408555374,0.9830534353380663,1.0471842846774033,1.0001268587929197,0.1661489247784898,0.13674809574406668,0.2012335809660039,1.0012083957110423,0.2811,0.576,0.19477570267419494
8,Switzerland,0.19261160679769287,0.9310008735097423,0.9107808051695757,0.9523937771191926,1.0056165293593342,0.10202773487023957,0.08797121622629439,0.11797253604567345,1.0014416947943132,0.2811,0.576,0.11094428551547109
9,Switzerland,0.15669649049798862,1.063714737906321,1.0415036484485873,1.0839536077570773,1.0066102187846029,0.0935992938677662,0.07776085382734634,0.11281850227007661,1.0043742270658562,0.2811,0.35,0.054843771674296014
10,Switzerland,0.25492631697814916,1.0880776063396382,1.0667674537043688,1.1082714195140568,1.004172234865143,0.14453795043508438,0.12009302592554126,0.17317454420909195,1.0057219395896475,0.2811,0.35,0.0892242109423522
11,Switzerland,0.097207187702966,1.0625228877339916,1.0430787502298082,1.081039562519126,1.0047326821395748,0.06315807937134153,0.052681385290623654,0.07448828932869907,1.0089673751975239,0.2811,0.35,0.0340225156960381
12,Switzerland,0.03298508889019048,0,0,0,0,0,0,0,0,0.2811,0.35,0.011544781111566668
