month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba
1,Switzerland,0.11021243846835203,0.9301021444052759,0.82587227146224,1.0621107840595487,1.0028312617385418,0.062210868673640805,0.050076076186866936,0.07579917181515189,1.0095811927455605,0.2887094201609649,0.20342676778936575,0.37859396945599977,1.0041458591757149,0.576,0.06348236455777077
2,Switzerland,0.1312052320149486,1.1326798216887424,1.0110052269196828,1.2844016020382343,1.0004773690549076,0.233352207028502,0.1711716653968852,0.32117452922735007,1.0019204058195672,0.2815922230265816,0.198335116815961,0.3677591573515292,1.000061314698688,0.576,0.07557421364061039
3,Switzerland,0.1165240004334164,1.1109961681353098,0.9836159889760332,1.293647336026837,1.0058427884469079,0.16741223336302924,0.1255485908668772,0.22449248030081853,1.0056138031752022,0.28041883401042644,0.18978426770065998,0.38330708120903434,1.0066779775871435,0.576,0.06711782424964784
4,Switzerland,0.12875204265932744,1.083102186013715,0.9525858401631724,1.2304085906919189,1.0012028872119036,0.20677224335973335,0.15897203823908687,0.26671379879864276,1.0043507882472706,0.28239653861265007,0.19011009896063547,0.37017251772512044,1.0011153405114162,0.576,0.0741611765717726
5,Switzerland,0.17024585751031884,1.0665643836132053,0.9529366491146088,1.219568025557206,1.008305010963453,0.23214985667924415,0.17560285813387097,0.3050807913170819,1.0083891145721968,0.2811417587684145,0.19986678896499765,0.371079407985347,1.007024704828254,0.576,0.09806161392594365
6,Switzerland,0.21487603305785125,1.1265111584569938,1.0032931429276277,1.2680886777047555,1.0010367237838322,0.16425707289320046,0.11136695145083704,0.2364752018248912,1.0024853229906614,0.28383274618001475,0.203781849355612,0.3656108603241566,1.000650266552158,0.576,0.1237685950413223
7,Switzerland,0.338152261587144,1.0216483262948348,0.9079874169531333,1.1741507626990002,1.0011883964592823,0.16559506997797582,0.13466988953678527,0.20155759786136943,1.0067703533818724,0.2831255508088157,0.2005101441704284,0.3784102426932145,1.000328426351892,0.576,0.19477570267419494
8,Switzerland,0.19261160679769287,0.9375553494668061,0.8360304400378082,1.0655748629002995,1.0011096933210621,0.10171269617143683,0.08860388506210505,0.11615578651719104,1.0006109800982843,0.2836074254304944,0.19790649205028993,0.3730185670072229,1.0014210181224754,0.576,0.11094428551547109
9,Switzerland,0.15669649049798862,1.0699230459578564,0.9588270358448499,1.2283504892051864,1.0080396121702355,0.09325027767905336,0.07661757318261467,0.11222408637002725,1.0023109182447343,0.28254063930696727,0.20161072591183696,0.37772219305370464,1.0080308934805826,0.35,0.054843771674296014
10,Switzerland,0.25492631697814916,1.0886002075180536,0.972265430197317,1.238335037231497,1.0104119407810326,0.14465795119349087,0.12063720555703997,0.17389482171197654,1.0009039504258201,0.27883233764539805,0.19349083594195385,0.3666389131197282,1.008934582937337,0.35,0.0892242109423522
11,Switzerland,0.097207187702966,1.0754261248560524,0.9546821584062226,1.2361011061135754,1.003048693774061,0.06344705115229073,0.05316129320032621,0.07555326622108408,1.0003988345240031,0.28641667001398835,0.20103028806599288,0.3789721929251519,1.0032882688026006,0.35,0.0340225156960381
12,Switzerland,0.03298508889019048,1.0154925476781225,0.9042051129788533,1.167171943223163,1.011368515277021,0.010540941048965455,0.008906929630525678,0.012437151420298484,1.004517817832625,0.28151687291328054,0.20206552065604852,0.3722711008234135,1.009871723806407,0.35,0.011544781111566668
1,Denmark,0.4610059559075743,1.2367074524034916,1.1073345802574777,1.4005900149936659,1.0012182713122855,0.3798509555069459,0.3247636624088535,0.4403578137769077,1.00544002315401,0.2749138643070044,0.19425917828227376,0.3620417063838432,1.0012231567096193,0.576,0.2655394306027628
2,Denmark,0.7206751711263223,1.2739496263834393,1.1442693393543724,1.4448362177260132,1.0028837187598092,0.5614855710479647,0.4618368447599657,0.6848656683643803,1.0027877904887237,0.27296551708349354,0.19226862379747273,0.3618144536477442,1.0029385177082528,0.576,0.4151088985687616
