size,frequency
1,1602
2,314
3,159
4,93
5,83
6,43
7,37
8,28
9,26
10,22
11,14
12,22
13,20
14,7
15,13
16,14
17,14
18,8
19,11
20,12
21,7
22,4
23,7
24,5
25,7
26,7
27,8
28,1
29,5
30,3
31,4
32,5
33,4
34,4
35,1
36,5
37,4
38,2
39,2
40,5
41,2
43,3
44,2
45,2
46,3
47,3
48,3
49,3
50,1
51,1
52,1
53,2
54,1
56,1
57,2
58,1
60,1
61,2
62,3
63,1
64,2
66,2
67,1
68,1
70,4
71,7
72,2
74,1
75,3
76,1
77,2
78,2
79,1
80,1
81,2
83,2
85,1
87,2
90,1
91,1
93,2
96,1
98,2
99,1
100,1
106,1
107,1
109,2
112,1
114,1
115,1
118,1
121,1
123,1
124,1
125,2
126,1
129,1
133,1
134,1
136,1
142,1
146,1
147,1
148,1
151,3
152,3
158,2
161,1
171,1
174,1
175,1
179,1
181,1
188,1
195,1
198,1
199,1
201,1
204,2
205,1
212,1
213,1
218,1
219,1
223,1
224,1
225,1
227,1
234,1
235,1
252,1
254,2
261,1
278,1
291,1
316,1
323,1
350,1
362,1
418,1
454,1
537,1
631,1
699,1
757,1
833,1
