size,frequency
1,11527
2,1563
3,818
4,488
5,351
6,279
7,203
8,144
9,117
10,120
11,97
12,76
13,67
14,73
15,56
16,50
17,53
18,41
19,46
20,34
21,24
22,32
23,35
24,32
25,23
26,32
27,19
28,22
29,17
30,21
31,21
32,15
33,17
34,15
35,11
36,6
37,13
38,7
39,14
40,11
41,7
42,7
43,12
44,11
45,7
46,5
47,11
48,8
49,5
50,8
51,4
52,8
53,2
54,7
55,5
56,4
57,4
58,8
59,6
60,9
61,4
62,7
63,1
64,7
65,3
66,4
67,6
68,3
69,5
70,2
71,2
72,1
73,1
74,4
75,1
76,3
77,2
78,3
79,4
80,2
81,1
82,3
84,1
85,3
88,1
89,4
90,1
91,1
92,2
93,1
94,1
95,1
96,1
97,1
99,5
100,2
102,1
103,3
104,3
105,3
106,4
107,3
108,1
109,3
110,1
111,3
112,1
113,1
115,1
116,2
117,1
118,1
119,1
120,1
122,2
124,2
125,1
127,1
128,1
129,1
131,1
132,4
135,2
141,1
142,1
143,2
144,1
149,1
154,1
156,1
161,2
163,1
164,1
165,2
167,1
171,1
172,1
178,1
184,1
185,1
187,1
195,1
198,1
204,1
212,1
223,1
224,1
225,1
226,1
231,1
240,1
257,1
267,1
298,1
359,2
428,1
