size,frequency
1,2625
2,531
3,274
4,155
5,107
6,83
7,50
8,43
9,48
10,37
11,26
12,34
13,41
14,19
15,21
16,15
17,19
18,16
19,15
20,12
21,11
22,13
23,15
24,9
25,6
26,8
27,8
28,7
29,7
30,8
31,12
32,7
33,8
34,7
35,6
36,6
37,7
38,1
39,7
40,5
41,3
42,4
43,1
44,2
45,1
46,3
47,3
48,3
49,4
50,2
51,4
52,2
53,1
55,3
57,3
58,1
59,1
60,1
61,1
62,4
63,1
64,1
65,3
66,3
67,3
68,2
69,2
70,2
71,4
74,2
75,2
76,3
77,2
78,2
80,4
81,1
85,5
86,2
88,2
89,1
91,2
92,2
94,2
95,3
96,1
97,1
98,1
102,1
103,2
104,1
105,1
109,1
111,2
112,1
113,1
115,1
119,1
120,1
122,1
126,1
128,1
135,1
136,1
137,1
141,1
142,2
144,1
145,1
148,1
161,1
169,1
174,1
175,1
187,2
190,1
191,1
195,1
197,1
202,1
208,1
211,1
224,1
228,1
234,1
240,1
246,1
252,1
262,1
275,1
278,1
330,1
532,1
554,1
