size,frequency
1,3792
2,667
3,354
4,204
5,147
6,105
7,72
8,57
9,53
10,40
11,45
12,38
13,31
14,22
15,24
16,21
17,19
18,19
19,13
20,17
21,14
22,7
23,10
24,13
25,13
26,12
27,7
28,6
29,9
30,6
31,6
32,8
33,9
34,6
35,12
37,5
38,8
39,4
40,4
41,5
42,3
43,3
44,3
45,5
46,6
47,8
48,2
49,6
50,5
51,5
52,1
53,2
54,3
55,2
56,1
57,3
58,4
59,4
60,1
61,2
62,5
64,1
65,1
66,3
67,1
68,1
70,3
71,1
72,1
73,3
75,1
76,1
77,4
79,1
80,1
81,1
82,3
83,1
84,1
85,1
87,1
88,1
89,1
91,1
92,2
94,3
95,1
100,5
101,3
105,1
108,3
110,1
111,1
113,1
115,1
116,1
117,1
119,1
122,1
127,1
130,1
136,1
138,1
139,1
140,2
142,1
148,3
151,3
152,1
154,3
157,1
161,1
168,1
183,2
191,1
200,1
205,1
209,1
210,1
213,1
217,1
225,3
241,1
297,1
301,1
315,1
329,1
632,1
