size,frequency
1,23717
2,3635
3,1772
4,1129
5,759
6,536
7,418
8,359
9,260
10,214
11,197
12,147
13,155
14,119
15,111
16,101
17,85
18,72
19,82
20,72
21,70
22,54
23,53
24,52
25,42
26,27
27,31
28,32
29,28
30,26
31,21
32,31
33,23
34,19
35,17
36,17
37,22
38,16
39,12
40,17
41,10
42,20
43,19
44,12
45,9
46,10
47,19
48,10
49,8
50,3
51,6
52,9
53,9
54,6
55,6
56,4
57,7
58,10
59,5
60,5
61,6
62,2
63,5
64,4
65,2
66,3
67,3
68,2
69,1
70,4
72,4
73,8
74,1
75,5
76,6
77,3
78,2
79,3
80,1
81,3
82,2
83,1
84,1
85,2
86,2
88,3
89,1
90,1
91,1
92,3
94,3
95,1
97,3
98,1
99,1
100,2
104,1
110,2
117,1
118,1
124,1
127,2
136,1
138,1
147,1
166,1
172,1
183,1
190,1
196,1
206,1
