size,frequency
1,8106
2,1227
3,565
4,362
5,280
6,193
7,151
8,114
9,82
10,69
11,58
12,69
13,42
14,44
15,29
16,41
17,31
18,22
19,22
20,20
21,9
22,20
23,14
24,23
25,19
26,20
27,11
28,12
29,11
30,9
31,8
32,10
33,12
34,6
35,4
36,8
37,11
38,7
39,6
40,4
41,4
42,3
43,5
44,2
45,5
46,3
47,5
48,7
49,2
50,5
51,2
53,4
54,4
55,3
56,1
57,3
58,2
59,4
61,3
64,3
65,2
66,2
67,4
68,2
69,1
70,1
71,1
72,1
73,4
74,1
76,1
80,2
81,1
83,1
84,2
85,1
86,1
88,2
89,2
91,1
93,2
94,1
103,1
106,1
108,1
109,1
114,1
115,1
116,1
119,1
134,1
145,1
156,1
223,1
333,1
