size,frequency
1,13748
2,2203
3,1054
4,616
5,450
6,342
7,239
8,195
9,157
10,153
11,123
12,88
13,73
14,72
15,61
16,50
17,64
18,47
19,36
20,33
21,24
22,32
23,30
24,25
25,27
26,14
27,16
28,20
29,9
30,14
31,8
32,7
33,7
34,7
35,8
36,10
37,5
38,11
39,9
40,3
41,13
42,5
43,5
44,7
45,5
46,4
47,3
48,1
49,2
50,3
51,4
52,3
53,5
54,1
55,1
56,4
57,2
59,1
60,3
61,2
62,3
63,1
64,1
65,1
66,2
67,3
68,1
69,1
70,2
71,2
73,1
74,1
75,1
76,2
77,2
78,1
79,1
80,1
81,1
88,1
89,1
113,1
117,1
126,1
130,1
131,1
132,1
135,1
142,1
