month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba
1,Switzerland,0.11021243846835203,0.8050086050264879,0.7749875765697063,0.834280148877316,1.007525822535223,0.06245724029832165,0.05082658631073696,0.07591644154345785,1.0076591525133392,14.00577254781841,13.035761015981109,15.000407387911004,1.0000057510276035,0.18075538516857387,0.1693841259000041,0.19229481835797022,1.0000369616480984,0.576,0.06348236455777077
2,Switzerland,0.1312052320149486,0.9896858653348034,0.9597305840038934,1.018727792981064,1.0047282387946468,0.23321733193066926,0.16512796368610097,0.3248930514373238,1.000948976998452,13.997657939373198,13.040972024649182,15.006372327688366,1.0007593473133458,0.1806602246185626,0.169445745628646,0.19236340722780357,1.000753061428397,0.576,0.07557421364061039
3,Switzerland,0.1165240004334164,0.9711343620150883,0.9442298715413913,0.99673499505643,1.0008452795672362,0.1664588038460704,0.1268017669577342,0.21925252721643526,1.0018619210891424,14.008297767688717,12.999539842285508,14.927984208836607,1.0010885417643436,0.18078492389831713,0.16895568799714206,0.1914615834324461,1.00107339478994,0.576,0.06711782424964784
4,Switzerland,0.12875204265932744,0.9450664318166966,0.9195736728995044,0.9688053562021294,0.9997491245526108,0.20623619391668305,0.16052870980563289,0.26509191352131656,1.0018449281321893,14.012891643109574,13.06219924875957,14.939294898639064,0.9990360205597703,0.18083855329184265,0.16969670784360266,0.19159177033761504,0.9990330958235515,0.576,0.0741611765717726
5,Switzerland,0.17024585751031884,0.931612995225068,0.9050459414981207,0.9566305491609922,1.0007407338230536,0.23045071516473573,0.17521968805068652,0.2993629936853861,0.9987727512735928,13.969296604139755,13.04549604023274,14.9248133801702,1.001938656223156,0.18033003248017615,0.1694992379345431,0.1914250830291523,1.0019376070549293,0.576,0.09806161392594365
6,Switzerland,0.21487603305785125,0.9815238955826977,0.9423184330579639,1.0205993156934854,1.0044774198923645,0.16396932127556613,0.11362229325036145,0.2337718576476994,1.0023860198653423,13.987831275433463,13.037080202219702,14.918570780181874,1.0037289921992425,0.18054793748404302,0.16939972568375197,0.1913532180156879,1.0037154483856028,0.576,0.1237685950413223
7,Switzerland,0.338152261587144,0.8903470289848741,0.8585170309872366,0.9204664171014733,1.0029675519945838,0.16663026198548478,0.13452548129529465,0.20414218616597846,1.0044450894320343,13.996061467579038,13.052726520180874,14.98376364681093,1.0005007613014345,0.18064120191289568,0.1695847244279094,0.19210340673465712,1.0005005480898774,0.576,0.19477570267419494
8,Switzerland,0.19261160679769287,0.8159617259393854,0.7936834644547521,0.8380169420500818,1.0061490950538232,0.10142349930374565,0.08710419418421347,0.11668086615872898,1.0040211395361514,13.986630898520314,13.035240793638351,15.005450456783235,1.0027051281516262,0.180531356672114,0.16937797418841807,0.1923528073178833,1.0026954821348806,0.576,0.11094428551547109
9,Switzerland,0.15669649049798862,0.9335310704775426,0.9114650356831168,0.9560008652088874,1.004669811501302,0.093661101576486,0.07596003157561856,0.11379303480406319,1.0086361606308392,13.997593768398609,13.089300872370336,14.965358030330561,1.0039462439749625,0.1806610480821929,0.17001701132052394,0.1918916797798101,1.003954984621198,0.35,0.054843771674296014
10,Switzerland,0.25492631697814916,0.9546109400634678,0.93194114294551,0.9762106263303845,1.0047838556829585,0.1452192679348488,0.12157061738322082,0.17161689140721678,1.0039763465828477,13.980081841479223,13.001031479791282,14.957691882091865,1.0024098633220089,0.18045565344248743,0.16897333616809315,0.19180347672284603,1.002440045369575,0.35,0.0892242109423522
