period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
all,New Zealand,0.40309713749413423,0.8600565827738753,0.7891418097828484,0.9275525396031763,1.002259793617588,0.5427798830505773,0.28509216405267795,0.9229650090487982,0.9989911332993968,0.2811,0.5,0.20154856874706711
1,New Zealand,0.25229960578186594,0.858330464737091,0.7058829109426892,1.0132348616117341,1.0019734530705824,0.5156238644097203,0.19604015785146922,1.0340312406670844,1.0020032305630204,0.2811,0.5,0.12614980289093297
2,New Zealand,0.5082212257100149,0.8994494782410889,0.7888615251374602,1.010989115862826,1.0020483142542123,0.5031976996138744,0.23827701526297748,0.9547890603843454,1.007008955824336,0.2811,0.5,0.25411061285500747
3,New Zealand,0.45879732739420936,0.8180977847315279,0.6938192718630288,0.935889154372627,0.9996509288232452,0.7061356921459423,0.33091987631460157,1.2560787785197776,1.0051299138618284,0.2811,0.5,0.22939866369710468
4,New Zealand,0.4801587301587302,0.7400439138893263,0.5785194687507784,0.9174148831087685,1.002047261381242,0.3955640441610355,0.12485740625103268,0.8668133629937211,1.0048397864742833,0.2811,0.5,0.2400793650793651
all,New Zealand,0.40309713749413423,0.773868856543604,0.6955890627552687,0.8443189840882517,1.0034479240284642,0.5579698296475744,0.30621109441067107,0.9275899793749672,1.0010600557104772,0.2811,0.8,0.3224777099953074
1,New Zealand,0.25229960578186594,0.7754528183341679,0.618666097425146,0.9337547896155766,0.999642780014014,0.5210920436666217,0.20267338838762927,1.047367561371889,1.0054219852444901,0.2811,0.8,0.20183968462549276
2,New Zealand,0.5082212257100149,0.821097875151475,0.7058358443943413,0.9441205012284141,1.000280218817283,0.5025646644235146,0.24754938022476866,0.9024052036070737,1.0000838602620399,0.2811,0.8,0.40657698056801195
3,New Zealand,0.45879732739420936,0.7321480376055819,0.6057504514462989,0.8642974972508396,1.001192058656691,0.7362498190936166,0.3831984274936009,1.296800856827852,1.002310140979211,0.2811,0.8,0.3670378619153675
4,New Zealand,0.4801587301587302,0.668598783087522,0.48486812988325273,0.8657714892195908,1.003266878385927,0.3839823299316779,0.1242048851676722,0.8618919897427885,1.0040504361633416,0.2811,0.8,0.38412698412698415
all,New Zealand,0.40309713749413423,0.72971877070115,0.6590419189210277,0.804226461100243,1.0025611718069751,0.5618898758771718,0.32282828442200445,0.9243323019363798,1.000258978586598,0.2811,1,0.40309713749413423
1,New Zealand,0.25229960578186594,0.7401087235486509,0.5748652734348275,0.9335038433356507,0.9984448935963389,0.5234702765815736,0.1965476073897822,1.073646881819181,1.0022148095807448,0.2811,1,0.25229960578186594
2,New Zealand,0.5082212257100149,0.7797815086536165,0.6601969056317555,0.9077793351365059,1.0048975095905734,0.5115526800051793,0.25382704166398284,0.9321281995131402,1.0064733766632628,0.2811,1,0.5082212257100149
3,New Zealand,0.45879732739420936,0.689499378744603,0.5626338415581558,0.828956027933633,1.0012671915747309,0.7472508571663145,0.396149710283492,1.2557768086880765,1.0046825004769004,0.2811,1,0.45879732739420936
4,New Zealand,0.4801587301587302,0.6369561272996144,0.4527049062395001,0.867178157175506,1.0008717853750193,0.3730806504028379,0.12204658076313137,0.8123876942440968,1.002253998651923,0.2811,1,0.4801587301587302
