period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba,mutation_proba
all,New Zealand,0.40309713749413423,0.8711629282994882,0.7477207389430981,1.0250215541262753,1.0052536624540984,0.5292340010649905,0.2760614626131601,0.8875313859825886,1.0009706533732576,0.28709084908670157,0.1996679309286999,0.3857319761499005,1.0039187265521592,0.5,0.20154856874706711,0.2811
1,New Zealand,0.25229960578186594,0.8672994400555427,0.6847084455843638,1.0605669222242766,1.0034330244664071,0.5022955784203397,0.19485202861064682,1.0560980431891005,1.0014689908226724,0.28987536436906347,0.2050665646201366,0.38078872411067066,1.0057823429681452,0.5,0.12614980289093297,0.2811
2,New Zealand,0.5082212257100149,0.9096027310928001,0.7701274872913275,1.0761474458496056,1.0080807780216556,0.5004420914287102,0.2310665916486275,0.9309626602469669,1.0069727131755064,0.2889958533249405,0.20336780211485325,0.3837968770515898,1.0113726764218949,0.5,0.25411061285500747,0.2811
3,New Zealand,0.45879732739420936,0.8287950734378471,0.6859642155269962,1.0029520136506498,1.0024408433351357,0.698678140406747,0.33646320649629063,1.239519745378449,1.0030238300658276,0.2894633714517937,0.20905546439205014,0.380741489846159,1.0023569079185546,0.5,0.22939866369710468,0.2811
4,New Zealand,0.4801587301587302,0.7453440872261543,0.5659896046473278,0.9510146334956527,1.0062900814457665,0.3793756466558143,0.12342950666125807,0.818448925147043,1.003199226084911,0.2916498870070556,0.20284031414328135,0.39037870052009477,1.006048463530252,0.5,0.2400793650793651,0.2811
all,New Zealand,0.40309713749413423,0.7868704879008519,0.6755874306800573,0.9208466715052916,1.0060238099248642,0.5547132447029028,0.3185179354726966,0.9087103320441203,0.999184322771893,0.29208034395387034,0.2070649125952273,0.38202229431505175,1.0083586204055108,0.8,0.3224777099953074,0.2811
1,New Zealand,0.25229960578186594,0.7939032104209152,0.6182443008912817,1.0062544322652112,0.9998146328393985,0.5239980786802575,0.21029246667706286,0.991993849154463,1.0025131972356682,0.2895956515306842,0.20369934708870052,0.38144173131906634,1.0002056062422664,0.8,0.20183968462549276,0.2811
2,New Zealand,0.5082212257100149,0.8287372216106332,0.6786366405114025,0.9983186851472119,0.9999053405383934,0.5212308814230715,0.25612021073206814,0.9063268222468064,1.0028692821372047,0.2890676836951504,0.20364394695750737,0.37623663761128245,0.9999904882043906,0.8,0.40657698056801195,0.2811
3,New Zealand,0.45879732739420936,0.742749932267267,0.5922384892137255,0.913003770295587,1.0015880515964923,0.7408236009248076,0.3785051360617762,1.284380935164395,1.000720998231427,0.29188532746032664,0.201408265046928,0.38433453981964955,0.999504142713169,0.8,0.3670378619153675,0.2811
4,New Zealand,0.4801587301587302,0.6828282555302647,0.4981340069980815,0.9129049951686644,1.0012001903266845,0.3767459471663154,0.12230486665071752,0.8015444492084834,1.0020717568745168,0.2930398773980929,0.2007387739873239,0.38364976202788,1.0009674946433693,0.8,0.38412698412698415,0.2811
all,New Zealand,0.40309713749413423,0.7421259317097029,0.6201529784002162,0.8743894491200744,1.0001199167064354,0.5686298324421917,0.3273926863217423,0.9344792183202695,1.0022551392228571,0.28994399601485465,0.201921107740857,0.3795250744294774,0.9995775668885402,1,0.40309713749413423,0.2811
1,New Zealand,0.25229960578186594,0.7532026893078589,0.570780853429169,0.9646477794606584,1.0021775602657301,0.5159326419557119,0.19629087197434025,0.9939428277587472,1.0011520067247321,0.2940715575788463,0.21035733346858268,0.3871221703430734,1.0011967302077205,1,0.25229960578186594,0.2811
2,New Zealand,0.5082212257100149,0.7967752247360578,0.644503586677333,0.976577592658952,1.0007854101004443,0.5200345731198908,0.2539175577622904,0.9726659423186745,1.0015482076045146,0.2922366283461339,0.20420983057414044,0.39047721872462454,1.0023424401577723,1,0.5082212257100149,0.2811
3,New Zealand,0.45879732739420936,0.7026739055998525,0.5598206996022203,0.8739184276715436,1.0043497588409456,0.7432194004863237,0.38300264404311857,1.2614830628932263,0.9987712658964761,0.2938791499530042,0.20518228852227147,0.38535221058076535,1.0043818648745078,1,0.45879732739420936,0.2811
4,New Zealand,0.4801587301587302,0.649258284176376,0.4597965513915396,0.8842894790995561,1.0039600931244925,0.3761512029201206,0.1294696228360752,0.8063833656128974,1.002234803126524,0.2972180496221376,0.21015506670086948,0.3931507083166353,1.0064622672569865,1,0.4801587301587302,0.2811
