period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba
all,New Zealand,0.40309713749413423,0.7552353400969342,0.6927273023778355,0.8166793120846073,1.0011297651215219,0.5312129597521541,0.2834845914617698,0.9087133272069561,0.9988387854866202,14.002381648749347,13.054413304094728,14.909563151573977,0.9993190697391554,0.18071805338027233,0.16960466621910272,0.19124951048327962,0.999326784159391,0.5,0.20154856874706711
1,New Zealand,0.25229960578186594,0.7569211187346492,0.6212673071157773,0.8902952789452377,0.9994314044979129,0.5063826305281682,0.1943881826666481,1.024590647253018,1.001935061362254,13.98926945421559,12.991079780862327,14.96576535183958,0.9990219841780507,0.18056193467623427,0.16885558746251517,0.19189636586637093,0.9990236586431741,0.5,0.12614980289093297
2,New Zealand,0.5082212257100149,0.7897373770103585,0.688239296920262,0.887372134760274,1.0024242094316311,0.4924744092842608,0.2296776445984943,0.9211714798237634,1.0044327643596804,14.028059361863443,13.010434096004087,15.017565277374295,1.0003027997220526,0.18101384068882778,0.16908457271187693,0.19249209541574971,1.000306917932738,0.5,0.25411061285500747
3,New Zealand,0.45879732739420936,0.7253964198542974,0.6205143610639202,0.8316771916938702,1.0009906475640067,0.7114109916884577,0.3481866799938825,1.2583626556301155,1.0006050048997894,14.000758260273484,13.00865277653667,15.009219903495012,1.002080971296111,0.18069532806616873,0.16906350015342012,0.19239614849145983,1.0020627195657612,0.5,0.22939866369710468
4,New Zealand,0.4801587301587302,0.7550563867581231,0.6926023756543578,0.813939602557713,0.9997622036823941,0.5298811193732285,0.27088760295403974,0.9031165627477095,1.0005869876293159,13.998974880134405,12.954532437893459,14.957327756648208,0.9988607090441398,0.1806759455546425,0.1684230154743727,0.19179928702069257,0.9988660498577999,0.5,0.2400793650793651
all,New Zealand,0.40309713749413423,0.681715809389505,0.6139391933032029,0.7486822034501059,1.0015795135212904,0.5596170830497822,0.3112421397488627,0.9521978474801951,0.9992437060262087,13.99538058757646,12.994767199261926,14.9771116160562,0.9997167858094218,0.18063365584608354,0.1688992190225197,0.19202689201395184,0.9997128234921855,0.8,0.3224777099953074
1,New Zealand,0.25229960578186594,0.6937072562826122,0.5568911030647399,0.8562108794545483,0.9992015582752809,0.5165716651902366,0.20802151577993058,1.0033294615133086,1.0019421467834446,13.994776141542461,12.974870513214505,14.961888062013724,0.9990217770766484,0.1806264514941256,0.16866376340342706,0.19185175688680622,0.9990199452314479,0.8,0.20183968462549276
2,New Zealand,0.5082212257100149,0.7221475093834073,0.6230157541697104,0.8341939230114582,1.0059707566622593,0.5087174633572786,0.25372523479771053,0.9162782628280836,0.9993160813796366,14.003116571559596,13.051391518407781,14.96825534347312,0.9996146125846972,0.18072438872164284,0.16956894125002023,0.191925012376589,0.9996209214486638,0.8,0.40657698056801195
3,New Zealand,0.45879732739420936,0.6498567174227634,0.543129624486052,0.7643813708249758,1.0007694907417677,0.739877120389678,0.3560415966407972,1.283365241387642,1.0008482561650538,14.028712649603163,13.101618992393817,15.032179674976618,1.0011087362395004,0.181024014810095,0.17016255347248133,0.19266009025884862,1.001123844730523,0.8,0.3670378619153675
4,New Zealand,0.4801587301587302,0.6001076634325259,0.4339543275656272,0.803070544849628,1.0011573615730176,0.3787996011782995,0.11897000418679725,0.8327196629419886,1.0024284627520363,14.03523757556204,13.031496498569906,15.060334181900416,1.0007560281487275,0.18109803496033586,0.16933369510143823,0.19298363209148023,1.0007532180370593,0.8,0.38412698412698415
all,New Zealand,0.40309713749413423,0.6416988522225041,0.574154122203998,0.7098801267562649,1.0009029000433727,0.5736241729627161,0.3237112468374717,0.9533054646270849,1.001958081521448,14.018169297467292,13.05296196901724,14.975507296390765,1.0009528380208363,0.18090015542195262,0.16958750807780457,0.19200843755174868,1.000957387806484,1,0.40309713749413423
1,New Zealand,0.25229960578186594,0.658514978490753,0.5131488257655257,0.8267865420308401,0.9993818614243433,0.5235683149531315,0.20716587175012663,1.0088156541511197,0.9990873313728323,14.00703468189527,13.026031644209647,14.94376276447985,1.0021322456240005,0.1807704597001083,0.16926906499491354,0.19164319026081034,1.0021646926141712,1,0.25229960578186594
2,New Zealand,0.5082212257100149,0.6890377602814939,0.5779664101040151,0.8068718766660893,1.0020094290013475,0.5103661905083992,0.2521905616220366,0.8995656531453549,0.9998860916432676,14.008978770621402,13.076125103682958,14.978683213788285,1.0015553376052926,0.18079254634115766,0.16986130763343135,0.1920449700834409,1.0015639496013646,1,0.5082212257100149
3,New Zealand,0.45879732739420936,0.6078625696596155,0.502646365769138,0.7307887991740663,0.9994278848317911,0.74563552975744,0.38140386269565657,1.2403538030104122,1.001495810458845,13.982275861167276,13.035228634699434,14.98021524412756,1.0016188032759854,0.18048109394262227,0.16937783034785553,0.1920625923821275,1.0016599047007444,1,0.45879732739420936
4,New Zealand,0.4801587301587302,0.5718087338488507,0.4038011786227139,0.785893346108161,0.9996311839251447,0.3721647673637805,0.11967142880760963,0.8189301185047456,0.9990122182877725,14.027540357606393,13.046325043033102,14.954257924650776,0.9998678519470984,0.18100983594434866,0.1695090391703586,0.19176396412706706,0.9998623224804618,1,0.4801587301587302
