R,k,mutation_proba,testing_proba,sequencing_proba,n_clusters,max_cluster_size,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
0.7,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0.6805691478134956,0.41223374586083866,1.004437163293801,1.000543223903657,1.005867961988886,0.5315016505130644,0.1911856128952148,1.0451699585391478,0.9990405658280598,1.0072020827385109,0.29483113182416193,0.20905690593561255,0.3890752667427139,0.9988130912670848,1.008299739068861,0.37797080061413824,0.06323183664062848,0.9205787582608213,0.999993392363617,1.0080589652871572,0.0037797080061413827,6.323183664062849e-4,0.009205787582608213,0.999993392363617,1.0080589652871572
0.9,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0.8188038581006561,0.5966657066386324,1.1140617437255405,1.0013172605055287,1.010537700858263,0.5003421577350928,0.16542355436227793,1.0172915113734475,0.9994115007251911,1.0074829751301957,0.28961553283580965,0.2039064989449266,0.3838978160997717,0.9995690354981613,1.0065404188272458,0.5324170148309761,0.08911896214909476,0.9724971637435239,0.9988736612062138,1.011039327771778,0.0053241701483097625,8.911896214909477e-4,0.009724971637435239,0.9988736612062138,1.011039327771778
1.1,0.1,0.281,0.1,0.01,3000,1500,0.001,0,1.0183154335835352,0.8382654282981412,1.2475935781083536,0.9999605925050857,1.0061829092570933,0.480971483504166,0.16760315863913677,0.9708446043099104,0.9988941106906334,1.006392888951065,0.2838958987033565,0.2007011611616317,0.3742359666154195,0.9986637213739956,1.0051959342058419,0.6049002823012705,0.1136998730385305,0.9821401582299977,0.9990000003327514,1.012155946181548,0.006049002823012704,0.001136998730385305,0.009821401582299976,0.9990000003327514,1.012155946181548
1.3,0.1,0.281,0.1,0.01,3000,1500,0.001,0,1.263306459529157,1.1253039706042576,1.4296796736547681,1.0130184257611583,1.0130184257611583,0.4506038638639226,0.1862728837617472,0.892329233148158,1.0032295459769103,1.0032295459769103,0.2769882110080485,0.196217455976495,0.36052738326005035,1.0120597301941412,1.0120597301941412,0.6407025091857582,0.14634794161985804,0.98557381225835,1.005833375710049,1.005833375710049,0.0064070250918575825,0.0014634794161985805,0.0098557381225835,1.005833375710049,1.005833375710049
0.7,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0.6154254962612187,0.3350484300138306,0.9048959932471979,1.000011261783059,1.0076276670915805,0.5434663137148089,0.19896812389927213,1.0748313250736756,0.9994824179560317,1.0038263853270661,0.29597348549634667,0.20782025556365072,0.39331807696550125,0.998982740808712,1.0036864293517584,0.22873290155028733,0.054582491276601565,0.7249736539829047,0.9996727006365755,1.005628647303875,0.0022873290155028736,5.458249127660157e-4,0.0072497365398290475,0.9996727006365755,1.005628647303875
0.9,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0.7099407163854667,0.4596650201573466,1.0300563771399505,1.0013090415956893,1.0090857592039695,0.5322151336606822,0.18558907364223032,1.0521237654994018,0.9986432409188744,1.002413260757597,0.292695218751188,0.20479989282736233,0.38722724577390816,0.9986588895896424,1.0032148695814944,0.41774293510865856,0.0687592335463881,0.9421344902193807,1.0010921987906947,1.0081439700462898,0.004177429351086586,6.87592335463881e-4,0.009421344902193807,1.0010921987906949,1.0081439700462895
1.1,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0.8859387195563341,0.6809826097670596,1.161808046360748,0.9989546979721732,1.011862715157524,0.5013692412830543,0.1638430836194888,1.0311395103954646,1.0001707301594844,1.005451549257267,0.2872881907875397,0.2020173310295094,0.3820237479864783,0.9994529329848999,1.0027779382427695,0.5690163382796963,0.09816664941426184,0.9779982215596458,0.9991674017418037,1.007911955108284,0.005690163382796963,9.816664941426185e-4,0.009779982215596457,0.9991674017418037,1.007911955108284
1.3,0.3,0.281,0.1,0.01,3000,1500,0.001,0,1.2245752981351803,1.0766830517787143,1.4092126430591467,1.0032040027737013,1.0103829120426937,0.585332198883302,0.24272264646001557,1.1182006015991948,1.0008833620660205,1.0018414180319768,0.2768094306405056,0.1941696370332902,0.36506738981607506,1.001613545304648,1.0114598586870063,0.5862388996957785,0.11008225530098013,0.9816239259372198,1.0032920107731016,1.0071329790595709,0.005862388996957784,0.0011008225530098014,0.0098162392593722,1.0032920107731016,1.0071329790595707
0.7,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0.6025086492663708,0.3254760219039295,0.8989849406737083,1.0002295703149167,1.009881878302721,0.546265529580018,0.20104631164663458,1.0714963111954594,0.9993091266401304,1.005286307755266,0.2963491974073115,0.20808680189858436,0.39162636294466363,0.9994316264684814,1.0054563569562684,0.21089829588763967,0.05358650589578554,0.6923578844132919,1.0024001800286408,1.014181725318891,0.002108982958876397,5.358650589578555e-4,0.0069235788441329195,1.0024001800286408,1.014181725318891
0.9,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0.6893706601137605,0.42428888563269873,1.0096862932589779,1.0004021203308744,1.006786815107938,0.5321294549262383,0.18873568877631208,1.0531267454391893,0.9994599609396422,1.0036775956982498,0.29333855134623676,0.20545645821577127,0.3883995020901342,1.00068964934403,1.0054859013860546,0.3839748467863738,0.06510435582560793,0.9237028545675731,1.0004001413770538,1.0081785224248876,0.0038397484678637382,6.510435582560792e-4,0.00923702854567573,1.0004001413770538,1.0081785224248874
