n_divergent_transitions,min_Rhat,max_Rhat,t_c1_w,t_c2_w,t_c3_w,t_c4_w,t_w_max,t_c1_s,t_c2_s,t_c3_s,t_c4_s,t_s_max,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
0,0.9995006611456683,1.0017094066475094,56.616,79.829,50.312,51.004,79.829,44.044,45.673,31.553,39.299,45.673,0.6787917527428399,0.41642620478838926,1.0026982697646238,1.0017094066475094,0.5403901398894838,0.189290246269866,1.0712154106182699,1.000335496428624,0.29681298574347476,0.21005253774543323,0.3931041471756618,0.9995006611456683,0.38783113396617164,0.06587646252887369,0.9263875011352384,1.00138222344519,0.003878311339661717,6.58764625288737e-4,0.009263875011352386,1.00138222344519
0,0.9992625271257538,1.0014315709460972,160.212,176.49,121.092,175.408,176.49,101.369,117.586,48.119,81.009,117.586,0.8580053837628071,0.659538376894815,1.1235038510015665,1.0013172605055287,0.4726112246221408,0.1622298843691074,0.9284892709631922,1.0011637245349598,0.2875288760522238,0.1991230458352025,0.38041146131918085,1.0014315709460972,0.5653977649988342,0.11646763272181747,0.9690385462567559,0.9992625271257538,0.005653977649988343,0.0011646763272181748,0.009690385462567558,0.9992625271257538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.9996727006365755,1.002226422397464,54.024,50.996,50.555,58.458,58.458,57.256,52.395,52.754,52.314,57.256,0.6336655810254606,0.3544290188141313,0.9182215730654022,1.000011261783059,0.5430990859315069,0.19784896478232186,1.0907450805938907,0.9999356778723602,0.29509524206095605,0.20466386336391207,0.3906483367045829,1.002226422397464,0.2770265291375279,0.05691380119748063,0.805323062789973,0.9996727006365755,0.002770265291375279,5.691380119748063e-4,0.008053230627899732,0.9996727006365755
0,1.0010693985701622,1.0067704648429994,68.251,92.537,71.621,48.401,92.537,59.202,42.789,45.892,43.299,59.202,0.7254533539624947,0.4796175029982295,1.0333317517740863,1.004392441775418,0.5416456880621285,0.20284252417561682,1.086441219903294,1.0016917574532045,0.2925654221524471,0.20611770897154422,0.387782087532115,1.0010693985701622,0.44191922526610866,0.07268443913281532,0.9628880796273996,1.0067704648429994,0.004419192252661088,7.268443913281532e-4,0.009628880796273998,1.0067704648429994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0001671231648674,1.0069256711591783,130.805,116.057,139.863,131.9,139.863,81.862,86.567,73.076,52.532,86.567,0.6128139365592216,0.33030100591991296,0.9111612384182389,1.0069256711591783,0.5446000330770839,0.185727896968995,1.0641265140587637,1.001409783811892,0.2942508943004215,0.20448408572792454,0.3878805620044465,1.0001671231648674,0.229028291137923,0.05603180360206196,0.7331139222022502,1.0042043897651627,0.0022902829113792306,5.603180360206196e-4,0.007331139222022503,1.0042043897651627
0,0.9994599609396422,1.0065537545513952,219.6,64.21,124.563,185.727,219.6,86.848,66.098,152.345,135.047,152.345,0.6645024400269071,0.3960256463126173,0.9832867426145983,1.0065537545513952,0.5341206938746677,0.19290616600577015,1.0491057469436411,0.9994599609396422,0.2958156565160751,0.21396779195781476,0.3842344432207694,1.0008096127347037,0.3541112994682518,0.06021590363379622,0.9096331420091776,1.0055133893364403,0.0035411129946825225,6.021590363379623e-4,0.009096331420091777,1.0055133893364403
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.998769137400166,1.006331400975277,187.285,197.077,178.017,119.522,197.077,122.522,127.938,79.145,76.551,127.938,0.7352677026849285,0.5037490154262784,1.05506302127645,1.0044298768683855,0.5171225459702241,0.17709047965003694,1.0122164533573328,1.0008442235524082,0.2901491529343737,0.20521309158127796,0.3856708658148742,0.998769137400166,0.4832801353626807,0.07587929118501249,0.9575981551139058,1.006331400975277,0.004832801353626804,7.587929118501249e-4,0.009575981551139059,1.006331400975277
0,1.0014467449234383,1.0126136968118042,150.846,181.33,210.822,131.776,210.822,148.309,177.623,111.666,127.43,177.623,0.8921102488191744,0.691526818807856,1.1588600358417245,1.0126136968118042,0.4733814211832821,0.14810244713704682,0.9954644197829555,1.0014467449234383,0.28908156379668615,0.20210831200597468,0.3818374800870258,1.0035420181838315,0.5677250802280702,0.1004577737512675,0.979697403145413,1.0067334494222822,0.005677250802280703,0.001004577737512675,0.00979697403145413,1.0067334494222822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.001957705004182,1.006455366679749,153.705,149.748,124.944,137.822,153.705,81.456,95.084,87.85,138.964,138.964,0.6839125015798808,0.4174088545763608,0.9990078324936258,1.0032334012029882,0.534421237457865,0.195531157064727,1.0937589450054708,1.006455366679749,0.29347551052489446,0.2000758048331212,0.38548608085318875,1.0022645787096893,0.38410388918665794,0.06303098662987915,0.9306533007900799,1.001957705004182,0.0038410388918665808,6.303098662987914e-4,0.009306533007900799,1.001957705004182
0,0.9994305374037187,1.006413585037175,240.888,185.989,244.257,181.505,244.257,89,95.374,102.492,101.928,102.492,0.8218283232743133,0.6148681413117739,1.1018266368064848,1.006413585037175,0.5330468035891924,0.19555063197326542,1.036770221420784,1.0003050256413861,0.289235035746681,0.2088518932055385,0.37921959811040185,0.9994305374037187,0.5231397699894877,0.09344642546566855,0.9761958515167317,1.006095490802688,0.005231397699894879,9.344642546566856e-4,0.009761958515167318,1.006095490802688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0001461440328228,1.0097488592695854,238.374,184.814,212.275,249.949,249.949,108.906,135.416,121.06,154.809,154.809,0.6846734543985107,0.42144627149857694,0.999825762427532,1.0097488592695854,0.5282336308511144,0.15779590083057016,1.0899115913191184,1.0001461440328228,0.2941885062225816,0.20336636740348052,0.3836581957253255,1.0025581328151103,0.3457881922961836,0.06180705221886126,0.8913545255589639,1.0081226241110675,0.0034578819229618358,6.180705221886126e-4,0.008913545255589638,1.0081226241110675
0,1.0021064194910507,1.0031852977190747,232.323,227.128,197.373,158.803,232.323,108.738,191.587,116.457,110.46,191.587,0.7736166690862333,0.5400790123840403,1.0629282145783518,1.0027212652675732,0.540157133090533,0.1956638755888086,1.0775680152463363,1.0029634975354333,0.29155563460293443,0.2097042827788295,0.38181527201413235,1.0021064194910507,0.475161281459771,0.07357943019590381,0.9625666505723213,1.0031852977190747,0.004751612814597712,7.357943019590381e-4,0.009625666505723213,1.0031852977190747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.0026220695137424,1.0088276405180026,272.981,301.071,258.135,188.484,301.071,163.274,173.097,190.192,182.104,190.192,0.8776158631847122,0.6604487790161071,1.175030154471099,1.0088276405180026,0.5421168690560748,0.19308943682145396,1.056341187113553,1.0026220695137424,0.28927129958016584,0.2011978812085186,0.38690920334949214,1.0044225850904762,0.5242967747017906,0.08247927892156917,0.9768066853584039,1.0067281914903143,0.0052429677470179036,8.247927892156918e-4,0.009768066853584039,1.0067281914903143
0,0.9987821355377886,1.0039287249425988,809.634,847.246,1404.14,1418.4,1418.4,489.441,532.18,833.891,842.221,842.221,1.0170473414548828,0.8395207630646699,1.2391366232358725,1.0039287249425988,0.4640071445447541,0.15337688354565518,0.9613387484210115,0.9987821355377886,0.2835335526677171,0.19366930399774118,0.37782588962515556,1.002640723424889,0.611201530873649,0.10351025071613566,0.983998519171792,1.0020778028214261,0.006112015308736491,0.0010351025071613565,0.009839985191717918,1.0020778028214261
