R,k,mutation_proba,testing_proba,sequencing_proba,n_clusters,max_cluster_size,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
0.7,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0.6814308412224612,0.4084722076690745,1.0054142993269353,1.0015047458701116,1.0049283342664832,0.5265962160372949,0.18592302981620798,1.0267652402708085,0.9990405658280598,1.0025718458671757,0.2956310349564484,0.20868210861395664,0.39136490623992215,0.9991291149176642,1.008299739068861,0.3759916077524198,0.06253411909315723,0.9249988829941164,0.999993392363617,1.0080589652871572,0.003759916077524198,6.253411909315724e-4,0.009249988829941163,0.999993392363617,1.0080589652871572
0.9,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0.828072030475517,0.6106233844432027,1.1145050629832773,1.0013172605055287,1.0061445448965654,0.5077328614401793,0.17130786992962263,1.030725122439873,1.0011637245349598,1.0074829751301957,0.28930906980325327,0.2049957817475595,0.38335924191509124,1.0011109528801172,1.0065404188272458,0.533204502593712,0.09256814467369572,0.9711306783512861,0.9988736612062138,1.0052080840054471,0.00533204502593712,9.256814467369571e-4,0.009711306783512862,0.9988736612062138,1.005208084005447
1.1,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.1,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0.6223611486122941,0.3418059694733275,0.91461770819653,1.000011261783059,1.0070067740789541,0.541827817731538,0.19896812389927213,1.0718266104352006,0.9994824179560317,1.0038263853270661,0.2954247542324969,0.20785725560848806,0.3922539925770163,0.998982740808712,1.0036864293517584,0.24190683990580203,0.055185548205393536,0.7542615978518187,0.9996727006365755,1.005628647303875,0.0024190683990580205,5.518554820539353e-4,0.007542615978518186,0.9996727006365755,1.005628647303875
0.9,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0.7055052242770764,0.45280616115595035,1.0289229668153317,1.0013090415956893,1.0090857592039695,0.5338098389866345,0.18939888012771575,1.0596201297439443,0.9986432409188744,1.002413260757597,0.2931219294862328,0.20379921655062308,0.3882075500925048,0.9986588895896424,1.0032148695814944,0.40674149994394276,0.0674271301277809,0.9423711798521647,1.0010921987906947,1.0081439700462898,0.004067414999439428,6.742713012778088e-4,0.009423711798521646,1.0010921987906949,1.0081439700462895
1.1,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.3,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0.6106609428745783,0.3300757250115196,0.9028897072939543,1.0010811153930708,1.0069256711591783,0.5467277433793262,0.1992955048386238,1.0773244034250353,0.9993091266401304,1.001409783811892,0.29574839162459987,0.20822008764894295,0.3916222007740451,0.9994316264684814,1.0054563569562684,0.21953579522866673,0.05407703371438643,0.7220899985771896,1.0028474872163697,1.0110549006186715,0.0021953579522866673,5.407703371438642e-4,0.007220899985771896,1.0028474872163697,1.0110549006186715
0.9,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0.6857643817278727,0.42019865275808144,1.0050519839504528,1.0004021203308744,1.006786815107938,0.5303295532736422,0.18951752718505066,1.0458006154918027,0.9994599609396422,1.0027052619648698,0.29381926097674654,0.20521698220872736,0.3891495661071701,1.00068964934403,1.0054859013860546,0.381417681606118,0.06539438812651961,0.9216843546791227,1.0004001413770538,1.0081785224248876,0.0038141768160611803,6.539438812651962e-4,0.009216843546791227,1.0004001413770538,1.0081785224248874
1.1,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0.7357701087166645,0.4912118084232705,1.0567655361632942,0.9987969631793264,1.0044298768683855,0.5260125079387686,0.18250745276295144,1.0600666596967503,0.9986801618174361,1.0081659157321994,0.2921003667367644,0.20348858259472957,0.38883511398773113,0.998769137400166,1.0028662724168698,0.46658247431804595,0.0759817575006048,0.955605091708882,0.9985763781031874,1.006331400975277,0.00466582474318046,7.598175750060481e-4,0.00955605091708882,0.9985763781031874,1.006331400975277
0.9,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0.9081317023898707,0.7084309061371772,1.1754650951977166,0.9991200470789161,1.0126136968118042,0.48272126824607253,0.15313674849140024,0.9956113793878033,1.0007974681236456,1.0045481272293644,0.2870473553921084,0.2032493314996859,0.380237686451485,0.99977979702941,1.0046659024602151,0.5849020680139217,0.10124390904772998,0.97997582821503,1.0005289233995076,1.0067334494222822,0.005849020680139217,0.0010124390904772997,0.009799758282150302,1.0005289233995076,1.0067334494222822
1.1,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0.6883798616725534,0.42278519179046353,1.004024724068128,1.000012300776639,1.0062024783057992,0.5340817530826272,0.19434481557375322,1.0589228971109912,0.9985816111053094,1.006455366679749,0.29393572860087386,0.2074449588278338,0.3889822002821703,0.9999932789350551,1.0033088148738516,0.3858920024583762,0.06544210373437313,0.9261687864444337,1.000729012932606,1.004684776423836,0.0038589200245837617,6.544210373437315e-4,0.009261687864444335,1.000729012932606,1.004684776423836
0.9,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0.7937547949552436,0.5656854595623316,1.0940294477765486,1.0010854465955312,1.011350640776925,0.5253073347958714,0.18760920539147463,1.049754869006775,0.9996723405658519,1.0031119289823014,0.2896912697931304,0.20290322185720483,0.38461436678120403,0.9994305374037187,1.0041136871182845,0.5051417436560485,0.08721137338092601,0.9641871406141358,1.003170696956673,1.012848087759977,0.005051417436560485,8.721137338092602e-4,0.009641871406141358,1.0031706969566727,1.012848087759977
1.1,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0.6606175591847183,0.3871774811353617,0.979235882661357,1.000395868761903,1.0097488592695854,0.537218882750231,0.1918631380516461,1.0803637817284395,0.999594492407146,1.0036030330570458,0.2945751085170784,0.20791319673558836,0.38595576101469325,0.99872952434847,1.0059856262533737,0.32395385233118235,0.06169998439280316,0.8784651054554972,1.0003707897489968,1.0081226241110675,0.0032395385233118237,6.169998439280315e-4,0.008784651054554971,1.0003707897489968,1.0081226241110675
0.9,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0.760491291917949,0.530006804205442,1.0656186273172559,1.0001159713776753,1.0099290439578283,0.5280693183580543,0.1883787538861197,1.052939416171462,0.9989879353608225,1.0029634975354333,0.29062421159155793,0.20458398266743716,0.3814910478503497,1.0020559344105298,1.004768055977333,0.477797046381424,0.08022012340212746,0.9622103076686828,0.9989712225170206,1.01054555922772,0.004777970463814241,8.022012340212747e-4,0.009622103076686829,0.9989712225170206,1.01054555922772
1.1,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.1,0.281,0.4,0.01,3000,1500,0.004,0,0.8547533187690085,0.6418395878081441,1.1389609563377148,0.9998040348149199,1.009150355736915,0.5146664163189578,0.17852298736858382,1.0375213078015915,1.0002819650760266,1.0032473459379079,0.28815483153671334,0.20024852146087663,0.38309952685751253,0.9998951647686167,1.0044225850904762,0.5429794284559949,0.08969730967578943,0.9743550580930391,0.9996693571580165,1.0067281914903143,0.005429794284559949,8.969730967578944e-4,0.00974355058093039,0.9996693571580165,1.0067281914903143
0.9,0.1,0.281,0.4,0.01,3000,1500,0.004,0,1.0203046759501986,0.8433475626593729,1.2400554334757352,1.0010783039769,1.0040096035518076,0.4562781028234992,0.1449019415960857,0.97167962396938945,0.9987821355377886,1.0048203611426163,0.2846498907230512,0.19916232234501238,0.3768593468273516,1.0003261739397453,1.002640723424889,0.6126131423275067,0.11588946463978664,0.9847644623339107,1.0009178885218155,1.0026743112249248,0.006126131423275068,0.0011588946463978666,0.009847644623339107,1.0009178885218155,1.0026743112249248
1.1,0.1,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.1,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,0.281,0.4,0.01,3000,1500,0.004,0,0.7618932634699236,0.5267221705347329,1.0731430864201603,1.0006611539032986,1.0080697373280085,0.5269898931228142,0.18248611259945938,1.042729203809366,1.0001120642961432,1.0015747445954022,0.2920716018790054,0.2068556481055241,0.38510375009950876,0.9995499277192135,1.0051908296974335,0.482567692261274,0.08023236143169439,0.9633444713402525,0.9991180072989112,1.0060843697307862,0.00482567692261274,8.023236143169439e-4,0.009633444713402526,0.9991180072989112,1.0060843697307862
0.9,0.3,0.281,0.4,0.01,3000,1500,0.004,0,0.8965106379621314,0.6917395581235581,1.1746908033317016,1.0006946170871054,1.0114808742263826,0.4787815111092106,0.14842073606948114,0.9996414320225372,0.9988977610735946,1.0030479507032841,0.2869332584132692,0.1985647003428783,0.38198120021245,0.9993473495483696,1.0076819623930868,0.58043300633446,0.10336200684123782,0.980878656776904,1.0003673992527298,1.007657954593747,0.0058043300633446,0.0010336200684123783,0.00980878656776904,1.0003673992527298,1.007657954593747
1.1,0.3,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.3,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
