size,frequency
1,2301
2,410
3,201
4,112
5,85
6,70
7,48
8,39
9,38
10,21
11,31
12,20
13,20
14,18
15,18
16,8
17,8
18,13
19,11
20,6
21,10
22,11
23,5
24,10
25,12
26,1
27,1
28,7
29,5
30,6
31,3
32,2
33,1
34,2
35,1
36,3
37,1
38,1
39,1
40,3
41,1
42,2
44,2
45,2
46,7
47,1
48,1
49,5
50,2
51,1
52,3
54,2
55,2
56,2
57,1
58,3
59,2
63,2
64,1
66,2
67,2
68,1
69,2
74,1
75,1
79,1
80,1
82,1
84,1
85,1
86,1
87,1
89,1
92,2
93,3
94,1
97,2
100,1
104,1
108,1
109,1
110,1
112,1
113,1
115,1
116,1
117,1
120,1
122,2
126,2
132,1
134,1
138,1
142,1
150,1
163,1
179,1
201,1
203,1
206,1
216,1
227,1
261,1
266,1
305,1
314,1
326,1
