size,frequency
1,4038
2,575
3,271
4,179
5,101
6,100
7,65
8,47
9,48
10,34
11,33
12,25
13,20
14,18
15,17
16,14
17,14
18,16
19,7
20,14
21,8
22,9
23,6
24,8
25,11
26,4
27,6
28,8
29,7
30,5
31,5
32,6
33,4
34,4
35,8
36,4
37,2
38,3
39,5
40,4
41,5
42,2
43,3
44,3
45,3
46,2
47,5
48,2
50,5
51,3
52,2
53,3
54,2
55,1
56,2
57,1
58,2
59,1
61,2
62,3
63,1
64,2
65,3
66,1
69,2
70,1
71,2
75,1
78,2
79,1
80,2
81,1
82,1
83,1
85,2
86,2
87,2
89,1
94,1
96,1
100,1
107,1
111,1
113,1
120,1
122,1
128,1
136,1
144,1
152,1
156,1
184,1
318,1
